timestamp,run_id,phase,model,config_hash,dataset,split,seed,epochs,imgsz,batch,num_images,map50,map50_95,ap_D00,ap_D10,ap_D20,ap_D40,precision,recall,f1,latency_ms,fps,param_count,trainable_param_count,train_runtime_sec,eval_runtime_sec,hardware,weights_path,notes
2026-08-30T19:47:20,yolo_source_eval_on_china_motorbike,4,yolov8n,d1896d8a6790,china_motorbike,all,42,,,,1977,0.2102,0.0796,0.1571,0.2531,0.3909,0.0397,0.4411,0.1497,0.2235,,,3011628,0,,210.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_source\weights\best.pt,Phase 4 zero-shot eval (zero-shot) on china_motorbike
2026-08-30T20:34:45,faster_rcnn_source_eval_on_source,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,source,test,42,,,,2732,0.5068,0.2133,0.4562,0.4168,0.6693,0.4849,0.2766,0.717,0.3992,,,41367656,41367656,,2788.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\faster_rcnn_source\best.pt,Phase 4 zero-shot eval (in-domain) on source
2026-08-30T21:23:53,faster_rcnn_source_eval_on_czech,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,czech,all,42,,,,2829,0.1419,0.0447,0.2035,0.1904,0.1351,0.0386,0.1201,0.2785,0.1678,,,41367656,41367656,,2948.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\faster_rcnn_source\best.pt,Phase 4 zero-shot eval (zero-shot) on czech
2026-08-30T21:54:18,yolov8n_ablation_augment-off,5-smoke,yolov8n,06f858bc67f4,source_subset,test,42,2,640,16,100,0.0284,0.0112,0.0011,0.0,0.1123,0.0,0.0,0.0,0.0,98.1,10.19,3011628,0,314.2,11.62,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ablation_augment-off\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-08-30T21:57:28,yolov8n_ablation_resolution-416,5-smoke,yolov8n,b3fc778f347f,source_subset,test,42,2,416,16,100,0.0018,0.0005,0.0002,0.0,0.0071,0.0,0.0,0.0,0.0,100.01,10.0,3011628,0,156.1,11.76,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD | CPU-only",experiments\runs\yolov8n_ablation_resolution-416\weights\best.pt,PIPELINE SMOKE TEST - not a reportable result
2026-08-31T07:29:49,faster_rcnn_source_eval_on_norway,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,norway,all,42,,,,250,0.0456,0.018,0.0479,0.0095,0.1249,0.0,0.1736,0.0571,0.0859,,,41367656,41367656,,68.3,x86_64 | CUDA:Tesla T4,experiments/runs/faster_rcnn_source/best.pt,"Phase 4 zero-shot eval (zero-shot) on norway -- SEEDED RANDOM SUBSAMPLE of 250 images (seed=42), not the full set"
2026-08-31T07:30:06,faster_rcnn_source_eval_on_us,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,us,all,42,,,,250,0.3356,0.1506,0.5415,0.3721,0.3874,0.0415,0.3337,0.5904,0.4264,,,41367656,41367656,,16.9,x86_64 | CUDA:Tesla T4,experiments/runs/faster_rcnn_source/best.pt,"Phase 4 zero-shot eval (zero-shot) on us -- SEEDED RANDOM SUBSAMPLE of 250 images (seed=42), not the full set"
2026-08-31T07:30:23,faster_rcnn_source_eval_on_china_motorbike,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,china_motorbike,all,42,,,,250,0.2905,0.1054,0.2224,0.3682,0.4744,0.097,0.2598,0.4614,0.3325,,,41367656,41367656,,16.4,x86_64 | CUDA:Tesla T4,experiments/runs/faster_rcnn_source/best.pt,"Phase 4 zero-shot eval (zero-shot) on china_motorbike -- SEEDED RANDOM SUBSAMPLE of 250 images (seed=42), not the full set"
2026-08-31T07:44:02,faster_rcnn_source_eval_on_norway,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,norway,all,42,,,,1500,0.0329,0.0116,0.0604,0.0257,0.045,0.0005,0.1982,0.0814,0.1154,,,41367656,41367656,,388.5,x86_64 | CUDA:Tesla T4,experiments/runs/faster_rcnn_source/best.pt,"Phase 4 zero-shot eval (zero-shot) on norway -- SEEDED RANDOM SUBSAMPLE of 1500 images (seed=42), not the full set"
2026-08-31T07:45:43,faster_rcnn_source_eval_on_us,4,faster_rcnn_resnet50_fpn,abcad4b3ba2b,us,all,42,,,,1500,0.3549,0.1565,0.4987,0.3472,0.4679,0.1059,0.3311,0.5837,0.4225,,,41367656,41367656,,101.1,x86_64 | CUDA:Tesla T4,experiments/runs/faster_rcnn_source/best.pt,"Phase 4 zero-shot eval (zero-shot) on us -- SEEDED RANDOM SUBSAMPLE of 1500 images (seed=42), not the full set"
